latitude,longitude
40.643934,-8.6395012
40.64374,-8.63958
40.6437388,-8.6395829
40.6436,-8.63964
40.64338,-8.63874
40.64326,-8.63828
40.64319,-8.63807
40.64308,-8.63769
40.64305,-8.6376
40.64304,-8.63755
40.64303,-8.63748
40.6430322,-8.6374762
40.64272,-8.63662
40.64261,-8.63631
40.64257,-8.63621
40.64256,-8.63618
40.64249,-8.63606
40.6424874,-8.6360642
40.64244,-8.63607
40.64239,-8.63606
40.64235,-8.63604
40.64231,-8.636
40.64227,-8.63596
40.64225,-8.63591
40.64224,-8.6359
40.64223,-8.63585
40.64223,-8.63584
40.64222,-8.63579
40.64222,-8.63573
40.64223,-8.6357
40.64223,-8.63567
40.64225,-8.63561
40.64231,-8.63552
40.64232,-8.63551
40.64234,-8.6355
40.64236,-8.63549
40.64237,-8.63548
40.64239,-8.63547
40.64241,-8.63546
40.64243,-8.63546
40.64246,-8.63546
40.64249,-8.63546
40.64252,-8.63547
40.64256,-8.63549
40.64259,-8.63552
40.64261,-8.63555
40.64264,-8.63559
40.64266,-8.63563
40.64267,-8.63567
40.64267,-8.63569
40.64268,-8.6357
40.64268,-8.63572
40.64268,-8.63573
40.64268,-8.63575
40.64268,-8.63577
40.64268,-8.63578
40.64268,-8.6358
40.64268,-8.63582
40.64267,-8.63585
40.64267,-8.63587
40.64266,-8.6359
40.64265,-8.63592
40.64264,-8.63594
40.64263,-8.63596
40.64262,-8.63598
40.64267,-8.63621
40.64271,-8.63634
40.64304,-8.63728
40.64332,-8.63811
40.64336,-8.63826
40.64341,-8.63844
40.6435,-8.63877
40.64365,-8.63938
40.64375,-8.63981
40.64385,-8.64023
40.64397,-8.64071
40.644,-8.64087
40.64402,-8.64096
40.64404,-8.64103
40.64404,-8.64113
40.64406,-8.64128
40.64405,-8.64138
40.64404,-8.64149
40.644,-8.64175
40.6439,-8.64214
40.64378,-8.64278
40.64374,-8.64297
40.64371,-8.64315
40.64363,-8.64352
40.64358,-8.64381
40.64358,-8.64389
40.6435789,-8.64389
40.64354,-8.64407
40.64346,-8.64454
40.64343,-8.64473
40.6434,-8.64486
40.64335,-8.64514
40.6433495,-8.6451376
40.6433495,-8.6451376
